date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:40	38374/38374	---M--	200	added ('OK')	image/jpeg	etag:%229f921c04b5a1e4b493850850aa809788%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/123513803.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/123513803.jpg	(from https://www.wedmegood.com/)
23:00:42	116605/116605	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:32:02%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/30/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/30/location/all.html	(from https://www.wedmegood.com/)
23:00:42	51980/51980	---M--	200	added ('OK')	image/jpeg	etag:%2202c1abc8abe6a4fe991b46cba27ecfe2%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/12935035.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/12935035.jpg	(from https://www.wedmegood.com/)
23:00:43	116879/116879	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:32:03%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/27/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/27/location/all.html	(from https://www.wedmegood.com/)
23:00:43	36233/36233	---M--	200	added ('OK')	image/jpeg	etag:%22f09099aee7bf3088352a1cd89629700a%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/816840965.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/816840965.jpg	(from https://www.wedmegood.com/)
23:00:44	115943/115943	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:32:05%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/31/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/31/location/all.html	(from https://www.wedmegood.com/)
23:00:44	30486/30486	---M--	200	added ('OK')	image/jpeg	etag:%2212f4fc5383bb0922b6ebc6328e89527c%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/639603798.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/639603798.jpg	(from https://www.wedmegood.com/)
23:00:46	40097/40097	---M--	200	added ('OK')	image/jpeg	etag:%22c8fac981970ef37476e8bc86163ca894%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/real_wedding_banner_left/248/thumbnails/thumb_270/1455518495_IMG_2680.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/real_wedding_banner_left/248/thumbnails/thumb_270/1455518495_IMG_2680.jpg	(from https://www.wedmegood.com/)
23:00:46	82608/82608	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:32:06%20GMT	https://www.wedmegood.com/real_wedding/detail/manika-nihar-jaipur	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/real_wedding/detail/manika-nihar-jaipur.html	(from https://www.wedmegood.com/)
23:00:47	85841/85841	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:32:08%20GMT	https://www.wedmegood.com/real_wedding/detail/ruchi-ashish	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/real_wedding/detail/ruchi-ashish.html	(from https://www.wedmegood.com/)
23:00:47	73322/73322	---M--	200	added ('OK')	image/jpeg	etag:%22aa4e5a15b61c739bda0355a04c0b7fbc%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/real_wedding_banner_left/247/thumbnails/thumb_270/1455255263_1455027941_Best_Beach_Destination_Wedding_Goa_Prasad_Jindam_Photography_Best_Candid_wedding_Photographer_Mumbai_1.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/real_wedding_banner_left/247/thumbnails/thumb_270/1455255263_1455027941_Best_Beach_Destination_Wedding_Goa_Prasad_Jindam_Photography_Best_Candid_wedding_Photographer_Mum	(from https://www.wedmegood.com/)
